Пример данных.
1.29563181 0.45530329
1.30192128 0.45640706
1.30821075 0.45750816
1.31450023 0.45860663
1.32078970 0.45970246
1.32707918 0.46079569
1.33336865 0.46188633
1.33965813 0.46297441
1.34594760 0.46405993
1.35223708 0.46514292
1.35852655 0.46622339
1.36481603 0.46730136
1.37110550 0.46837686
1.37739498 0.46944989
1.38368445 0.47052047
1.38997393 0.47158862
1.39626340 0.47265436
1.40255288 0.47371770
1.40884235 0.47477866
1.41513183 0.47583725
1.42142130 0.47689350
1.42771078 0.47794741
1.43400025 0.47899900
1.44028973 0.48004829
1.44657920 0.48109528
1.45286867 0.48214001
1.45915815 0.48318247
1.46544762 0.48422270
1.47173710 0.48526069
1.47802657 0.48629646
1.48431605 0.48733004
1.49060552 0.48836143
1.49689500 0.48939064
1.50318447 0.49041770
1.50947395 0.49144260
1.51576342 0.49246538
1.52205290 0.49348603
1.52834237 0.49450458
1.53463185 0.49552103
1.54092132 0.49653541
1.54721080 0.49754771
1.55350027 0.49855796
1.55978975 0.49956617
1.56607922 0.50057235
1.57236870 0.50157651
1.57865817 0.50257866
1.58494765 0.50357882
1.59123712 0.50457699
1.59752659 0.50557319
1.60381607 0.50656744
1.61010554 0.50755974
1.61639502 0.50855010
1.62268449 0.50953854
1.62897397 0.51052506
1.63526344 0.51150968
1.64155292 0.51249241
1.64784239 0.51347325
1.65413187 0.51445223
1.66042134 0.51542935
1.66671082 0.51640462
1.67300029 0.51737805
1.67928977 0.51834965
1.68557924 0.51931944
1.69186872 0.52028742
1.69815819 0.52125360
1.70444767 0.52221799
1.71073714 0.52318060
1.71702662 0.52414145
1.72331609 0.52510054
1.72960557 0.52605788
1.73589504 0.52701348
1.74218451 0.52796735
1.74847399 0.52891950
1.75476346 0.52986994
1.76105294 0.53081868
1.76734241 0.53176572
1.77363189 0.53271109
1.77992136 0.53365477
1.78621084 0.53459680
1.79250031 0.53553716
1.79878979 0.53647588
1.80507926 0.53741295
1.81136874 0.53834840
1.81765821 0.53928222
1.82394769 0.54021443
1.83023716 0.54114503
1.83652664 0.54207404
1.84281611 0.54300145
1.84910559 0.54392729
1.85539506 0.54485155
1.86168454 0.54577424
1.86797401 0.54669538
1.87426349 0.54761497
1.88055296 0.54853302
1.88684243 0.54944953
1.89313191 0.55036452
1.89942138 0.55127799
1.90571086 0.55218995
1.91200033 0.55310040
1.91828981 0.55400936
1.92457928 0.55491683
1.93086876 0.55582281
1.93715823 0.55672733
1.94344771 0.55763037
1.94973718 0.55853196
1.95602666 0.55943209
1.96231613 0.56033078
1.96860561 0.56122803
1.97489508 0.56212384
1.98118456 0.56301823
1.98747403 0.56391120
1.99376351 0.56480276
2.00005298 0.56569292
2.00634246 0.56658167
2.01263193 0.56746904
2.01892141 0.56835502
2.02521088 0.56923962
2.03150035 0.57012284
2.03778983 0.57100470
2.04407930 0.57188521
2.05036878 0.57276435
2.05665825 0.57364215
2.06294773 0.57451861
2.06923720 0.57539374
2.07552668 0.57626753
2.08181615 0.57714000
2.08810563 0.57801116
2.09439510 0.57888100
2.10068458 0.57974954
2.10697405 0.58061678
2.11326353 0.58148273
2.11955300 0.58234739
2.12584248 0.58321076
2.13213195 0.58407287
2.13842143 0.58493370
2.14471090 0.58579326
2.15100038 0.58665157
2.15728985 0.58750862
2.16357932 0.58836442
2.16986880 0.58921898
2.17615827 0.59007230
2.18244775 0.59092439
2.18873722 0.59177526
2.19502670 0.59262490
2.20131617 0.59347333
2.20760565 0.59432054
2.21389512 0.59516655
2.22018460 0.59601136
2.22647407 0.59685497
2.23276355 0.59769739
2.23905302 0.59853862
2.24534250 0.59937868
2.25163197 0.60021756
2.25792145 0.60105526
2.26421092 0.60189181
2.27050040 0.60272719
2.27678987 0.60356141
2.28307935 0.60439449
2.28936882 0.60522641
2.29565830 0.60605720
2.30194777 0.60688685
2.30823724 0.60771536
2.31452672 0.60854275
2.32081619 0.60936901
2.32710567 0.61019416
2.33339514 0.61101819
2.33968462 0.61184111
2.34597409 0.61266292
2.35226357 0.61348364
2.35855304 0.61430325
2.36484252 0.61512178
2.37113199 0.61593922
2.37742147 0.61675557
2.38371094 0.61757085
2.39000042 0.61838505
2.39628989 0.61919818
2.40257937 0.62001024
2.40886884 0.62082124
2.41515832 0.62163119
2.42144779 0.62244007
2.42773727 0.62324791
2.43402674 0.62405471
2.44031622 0.62486046
2.44660569 0.62566517
2.45289516 0.62646886
2.45918464 0.62727151
2.46547411 0.62807313
2.47176359 0.62887373
2.47805306 0.62967332
2.48434254 0.63047189
2.49063201 0.63126945
2.49692149 0.63206601
2.50321096 0.63286156
2.50950044 0.63365611
2.51578991 0.63444967
2.52207939 0.63524224
2.52836886 0.63603382
2.53465834 0.63682441
2.54094781 0.63761403
2.54723729 0.63840267
2.55352676 0.63919033
2.55981624 0.63997703
2.56610571 0.64076276
2.57239519 0.64154753
2.57868466 0.64233134
2.58497414 0.64311419
2.59126361 0.64389609
2.59755308 0.64467705
2.60384256 0.64545705
2.61013203 0.64623612
2.61642151 0.64701425
2.62271098 0.64779145
2.62900046 0.64856771
2.63528993 0.64934304
2.64157941 0.65011746
2.64786888 0.65089094
2.65415836 0.65166352
2.66044783 0.65243517
2.66673731 0.65320592
2.67302678 0.65397575
2.67931626 0.65474468
2.68560573 0.65551271
2.69189521 0.65627984
2.69818468 0.65704608
2.70447416 0.65781142
2.71076363 0.65857587
2.71705311 0.65933944
2.72334258 0.66010212
2.72963206 0.66086393
2.73592153 0.66162485
2.74221100 0.66238490
2.74850048 0.66314408
2.75478995 0.66390240
2.76107943 0.66465984
2.76736890 0.66541643
2.77365838 0.66617216
2.77994785 0.66692702
2.78623733 0.66768104
2.79252680 0.66843421
2.79881628 0.66918652
2.80510575 0.66993800
2.81139523 0.67068863
2.81768470 0.67143842
2.82397418 0.67218738
2.83026365 0.67293550
2.83655313 0.67368279
2.84284260 0.67442925
2.84913208 0.67517489
2.85542155 0.67591971
2.86171103 0.67666370
2.86800050 0.67740688
2.87428998 0.67814924
2.88057945 0.67889080
2.88686892 0.67963154
2.89315840 0.68037147
2.89944787 0.68111061
2.90573735 0.68184894
2.91202682 0.68258647
2.91831630 0.68332321
2.92460577 0.68405915
2.93089525 0.68479430
2.93718472 0.68552867
2.94347420 0.68626225
2.94976367 0.68699504
2.95605315 0.68772706
2.96234262 0.68845829
2.96863210 0.68918875
2.97492157 0.68991844
2.98121105 0.69064735
2.98750052 0.69137550
2.99379000 0.69210288
3.00007947 0.69282950
3.00636895 0.69355536
3.01265842 0.69428045
3.01894790 0.69500479
3.02523737 0.69572838
3.03152684 0.69645122
3.03781632 0.69717330
3.04410579 0.69789464
3.05039527 0.69861523
3.05668474 0.69933508
3.06297422 0.70005419
3.06926369 0.70077257
3.07555317 0.70149020
3.08184264 0.70220711
3.08813212 0.70292328
3.09442159 0.70363872
3.10071107 0.70435344
3.10700054 0.70506743
3.11329002 0.70578070
3.11957949 0.70649325
3.12586897 0.70720509
3.13215844 0.70791620
3.13844792 0.70862661
3.14473739 0.70933630
3.15102687 0.71004528
3.15731634 0.71075355
3.16360582 0.71146112
3.16989529 0.71216799
3.17618476 0.71287416
3.18247424 0.71357962
3.18876371 0.71428439
3.19505319 0.71498847
3.20134266 0.71569185
3.20763214 0.71639454
3.21392161 0.71709655
3.22021109 0.71779786
3.22650056 0.71849850
3.23279004 0.71919845
3.23907951 0.71989772
3.24536899 0.72059631
3.25165846 0.72129422
3.25794794 0.72199146
3.26423741 0.72268803
3.27052689 0.72338392
3.27681636 0.72407915
3.28310584 0.72477371
3.28939531 0.72546761
3.29568479 0.72616084
3.30197426 0.72685341
3.30826374 0.72754532
3.31455321 0.72823658
3.32084268 0.72892718
3.32713216 0.72961712
3.33342163 0.73030642
3.33971111 0.73099506
3.34600058 0.73168306
3.35229006 0.73237040
3.35857953 0.73305711
3.36486901 0.73374317
3.37115848 0.73442859
3.37744796 0.73511337
3.38373743 0.73579752
3.39002691 0.73648103
3.39631638 0.73716390
3.40260586 0.73784615
3.40889533 0.73852776
3.41518481 0.73920875
3.42147428 0.73988910
3.42776376 0.74056884
3.43405323 0.74124795
3.44034271 0.74192643
3.44663218 0.74260430
3.45292166 0.74328155
3.45921113 0.74395818
3.46550060 0.74463420
3.47179008 0.74530961
3.47807955 0.74598440
3.48436903 0.74665859
3.49065850 0.74733216
3.49694798 0.74800513
3.50323745 0.74867750
3.50952693 0.74934926
3.51581640 0.75002042
3.52210588 0.75069098
3.52839535 0.75136094
3.53468483 0.75203030
3.54097430 0.75269907
3.54726378 0.75336724
3.55355325 0.75403483
3.55984273 0.75470182
3.56613220 0.75536822
3.57242168 0.75603404
3.57871115 0.75669927
3.58500063 0.75736392
3.59129010 0.75802798
3.59757958 0.75869146
3.60386905 0.75935436
3.61015852 0.76001669
3.61644800 0.76067843
3.62273747 0.76133961
3.62902695 0.76200020
3.63531642 0.76266023
3.64160590 0.76331969
3.64789537 0.76397857
3.65418485 0.76463689
3.66047432 0.76529464
3.66676380 0.76595183
3.67305327 0.76660846
3.67934275 0.76726452
3.68563222 0.76792002
3.69192170 0.76857496
3.69821117 0.76922935
3.70450065 0.76988318
3.71079012 0.77053645
3.71707960 0.77118917
3.72336907 0.77184134
3.72965855 0.77249296
3.73594802 0.77314402
3.74223750 0.77379455
3.74852697 0.77444452
3.75481644 0.77509395
3.76110592 0.77574284
3.76739539 0.77639118
3.77368487 0.77703898
3.77997434 0.77768624
3.78626382 0.77833297
3.79255329 0.77897916
3.79884277 0.77962481
3.80513224 0.78026993
3.81142172 0.78091451
3.81771119 0.78155857
3.82400067 0.78220209
3.83029014 0.78284508
3.83657962 0.78348755
3.84286909 0.78412949
3.84915857 0.78477090
3.85544804 0.78541179
3.86173752 0.78605216
3.86802699 0.78669201
3.87431647 0.78733134
3.88060594 0.78797015
3.88689542 0.78860844
3.89318489 0.78924621
3.89947436 0.78988347
3.90576384 0.79052022
3.91205331 0.79115645
3.91834279 0.79179217
3.92463226 0.79242739
3.93092174 0.79306209
3.93721121 0.79369629
3.94350069 0.79432998
3.94979016 0.79496316
3.95607964 0.79559584
3.96236911 0.79622802
3.96865859 0.79685970
3.97494806 0.79749087
3.98123754 0.79812155
3.98752701 0.79875173
3.99381649 0.79938141
4.00010596 0.80001060
4.00639544 0.80063929
4.01268491 0.80126749
4.01897439 0.80189519
4.02526386 0.80252241
4.03155334 0.80314914
4.03784281 0.80377537
4.04413228 0.80440112
4.05042176 0.80502639
4.05671123 0.80565116
4.06300071 0.80627546
4.06929018 0.80689927
4.07557966 0.80752260
4.08186913 0.80814545
4.08815861 0.80876781
4.09444808 0.80938970
4.10073756 0.81001112
4.10702703 0.81063205
4.11331651 0.81125251
4.11960598 0.81187250
4.12589546 0.81249201
4.13218493 0.81311106
4.13847441 0.81372963
4.14476388 0.81434773
4.15105336 0.81496536
4.15734283 0.81558252
4.16363231 0.81619922
4.16992178 0.81681545
4.17621126 0.81743122
4.18250073 0.81804652
4.18879020 0.81866137
4.19507968 0.81927575
4.20136915 0.81988967
4.20765863 0.82050313
4.21394810 0.82111613
4.22023758 0.82172867
4.22652705 0.82234076
4.23281653 0.82295240
4.23910600 0.82356357
4.24539548 0.82417430
4.25168495 0.82478457
4.25797443 0.82539440
4.26426390 0.82600377
4.27055338 0.82661269
4.27684285 0.82722117
4.28313233 0.82782919
4.28942180 0.82843677
4.29571128 0.82904391
4.30200075 0.82965060
4.30829023 0.83025685
4.31457970 0.83086266
4.32086918 0.83146802
4.32715865 0.83207294
4.33344812 0.83267743
4.33973760 0.83328147
4.34602707 0.83388508
4.35231655 0.83448826
4.35860602 0.83509099
4.36489550 0.83569329
4.37118497 0.83629516
4.37747445 0.83689660
4.38376392 0.83749760
4.39005340 0.83809817
4.39634287 0.83869831
4.40263235 0.83929803
4.40892182 0.83989731
4.41521130 0.84049617
4.42150077 0.84109460
4.42779025 0.84169260
4.43407972 0.84229018
4.44036920 0.84288734
4.44665867 0.84348408
4.45294815 0.84408039
4.45923762 0.84467628
4.46552710 0.84527175
4.47181657 0.84586680
4.47810604 0.84646144
4.48439552 0.84705566
4.49068499 0.84764946
4.49697447 0.84824284
4.50326394 0.84883581
4.50955342 0.84942836
4.51584289 0.85002051
4.52213237 0.85061224
4.52842184 0.85120356
4.53471132 0.85179447
4.54100079 0.85238496
4.54729027 0.85297505
4.55357974 0.85356474
4.55986922 0.85415401
4.56615869 0.85474288
4.57244817 0.85533134
4.57873764 0.85591940
4.58502712 0.85650706
4.59131659 0.85709431
4.59760607 0.85768116
4.60389554 0.85826761
4.61018502 0.85885366
4.61647449 0.85943930
4.62276396 0.86002455
4.62905344 0.86060941
4.63534291 0.86119386
4.64163239 0.86177792
4.64792186 0.86236158
4.65421134 0.86294485
4.66050081 0.86352772
4.66679029 0.86411020
4.67307976 0.86469229
4.67936924 0.86527399
4.68565871 0.86585530
4.69194819 0.86643621
4.69823766 0.86701674
4.70452714 0.86759688
4.71081661 0.86817663
4.71710609 0.86875599
4.72339556 0.86933497
4.72968504 0.86991356
4.73597451 0.87049177
4.74226399 0.87106959
4.74855346 0.87164704
4.75484294 0.87222409
4.76113241 0.87280077
4.76742188 0.87337707
4.77371136 0.87395298
4.78000083 0.87452852
4.78629031 0.87510368
4.79257978 0.87567846
4.79886926 0.87625286
4.80515873 0.87682689
4.81144821 0.87740054
4.81773768 0.87797382
4.82402716 0.87854672
4.83031663 0.87911925
4.83660611 0.87969141
4.84289558 0.88026320
4.84918506 0.88083461
4.85547453 0.88140565
4.86176401 0.88197633
4.86805348 0.88254663
4.87434296 0.88311657
4.88063243 0.88368614
4.88692191 0.88425534
4.89321138 0.88482418
4.89950086 0.88539265
4.90579033 0.88596075
4.91207980 0.88652849
4.91836928 0.88709587
4.92465875 0.88766289
4.93094823 0.88822954
4.93723770 0.88879583
4.94352718 0.88936176
4.94981665 0.88992734
4.95610613 0.89049255
4.96239560 0.89105740
4.96868508 0.89162190
4.97497455 0.89218604
4.98126403 0.89274982
4.98755350 0.89331325
4.99384298 0.89387632
5.00013245 0.89443904
5.00642193 0.89500140
5.01271140 0.89556341
5.01900088 0.89612507
5.02529035 0.89668638
5.03157983 0.89724733
5.03786930 0.89780793
5.04415878 0.89836819
5.05044825 0.89892810
5.05673772 0.89948765
5.06302720 0.90004686
5.06931667 0.90060572
5.07560615 0.90116424
5.08189562 0.90172241
5.08818510 0.90228023
5.09447457 0.90283771
5.10076405 0.90339485
5.10705352 0.90395164
5.11334300 0.90450809
5.11963247 0.90506419
5.12592195 0.90561996
5.13221142 0.90617538
5.13850090 0.90673047
5.14479037 0.90728521
5.15107985 0.90783962
5.15736932 0.90839369
5.16365880 0.90894742
5.16994827 0.90950081
5.17623775 0.91005387
5.18252722 0.91060659
5.18881670 0.91115897
5.19510617 0.91171102
5.20139564 0.91226274
5.20768512 0.91281412
5.21397459 0.91336517
5.22026407 0.91391589
5.22655354 0.91446627
5.23284302 0.91501633
5.23913249 0.91556605
5.24542197 0.91611545
5.25171144 0.91666451
5.25800092 0.91721325
5.26429039 0.91776166
5.27057987 0.91830974
5.27686934 0.91885749
5.28315882 0.91940492
5.28944829 0.91995202
5.29573777 0.92049880
5.30202724 0.92104525
5.30831672 0.92159138
5.31460619 0.92213719
5.32089567 0.92268267
5.32718514 0.92322783
5.33347462 0.92377267
5.33976409 0.92431718
5.34605356 0.92486138
5.35234304 0.92540526
5.35863251 0.92594881
5.36492199 0.92649205
5.37121146 0.92703497
5.37750094 0.92757757
5.38379041 0.92811986
5.39007989 0.92866182
5.39636936 0.92920348
5.40265884 0.92974481
5.40894831 0.93028583
5.41523779 0.93082654
5.42152726 0.93136693
5.42781674 0.93190701
5.43410621 0.93244678
5.44039569 0.93298623
5.44668516 0.93352538
5.45297464 0.93406421
5.45926411 0.93460273
5.46555359 0.93514094
5.47184306 0.93567884
5.47813254 0.93621643
5.48442201 0.93675371
5.49071148 0.93729069
5.49700096 0.93782736
5.50329043 0.93836372
5.50957991 0.93889977
5.51586938 0.93943552
5.52215886 0.93997097
5.52844833 0.94050610
5.53473781 0.94104094
5.54102728 0.94157547
5.54731676 0.94210970
5.55360623 0.94264362
5.55989571 0.94317724
5.56618518 0.94371056
5.57247466 0.94424358
5.57876413 0.94477630
5.58505361 0.94530872
5.59134308 0.94584084
5.59763256 0.94637266
5.60392203 0.94690418
5.61021151 0.94743540
5.61650098 0.94796633
5.62279046 0.94849695
5.62907993 0.94902729
5.63536940 0.94955732
5.64165888 0.95008706
5.64794835 0.95061650
5.65423783 0.95114565
5.66052730 0.95167451
5.66681678 0.95220307
5.67310625 0.95273134
5.67939573 0.95325931
5.68568520 0.95378700
5.69197468 0.95431439
5.69826415 0.95484149
5.70455363 0.95536830
5.71084310 0.95589481
5.71713258 0.95642104
5.72342205 0.95694698
5.72971153 0.95747263
5.73600100 0.95799800
5.74229048 0.95852307
5.74857995 0.95904786
5.75486943 0.95957236
5.76115890 0.96009657
5.76744838 0.96062050
5.77373785 0.96114414
5.78002732 0.96166750
5.78631680 0.96219057
5.79260627 0.96271335
5.79889575 0.96323586
5.80518522 0.96375808
5.81147470 0.96428002
5.81776417 0.96480167
5.82405365 0.96532305
5.83034312 0.96584414
5.83663260 0.96636495
5.84292207 0.96688548
5.84921155 0.96740573
5.85550102 0.96792570
5.86179050 0.96844539
5.86807997 0.96896481
5.87436945 0.96948394
5.88065892 0.97000280
5.88694840 0.97052138
5.89323787 0.97103968
5.89952735 0.97155771
5.90581682 0.97207546
5.91210630 0.97259293
5.91839577 0.97311013
5.92468524 0.97362705
5.93097472 0.97414370
5.93726419 0.97466008
5.94355367 0.97517618
5.94984314 0.97569201
5.95613262 0.97620757
5.96242209 0.97672285
5.96871157 0.97723787
5.97500104 0.97775261
5.98129052 0.97826708
5.98757999 0.97878128
5.99386947 0.97929521
6.00015894 0.97980887
6.00644842 0.98032227
6.01273789 0.98083539
6.01902737 0.98134825
6.02531684 0.98186083
6.03160632 0.98237315
6.03789579 0.98288521
6.04418527 0.98339699
6.05047474 0.98390851
6.05676422 0.98441977
6.06305369 0.98493075
6.06934316 0.98544148
6.07563264 0.98595194
6.08192211 0.98646213
6.08821159 0.98697206
6.09450106 0.98748173
6.10079054 0.98799114
6.10708001 0.98850028
6.11336949 0.98900916
6.11965896 0.98951778
6.12594844 0.99002614
6.13223791 0.99053423
6.13852739 0.99104207
6.14481686 0.99154964
6.15110634 0.99205696
6.15739581 0.99256402
6.16368529 0.99307082
6.16997476 0.99357736
6.17626424 0.99408364
6.18255371 0.99458966
6.18884319 0.99509543
6.19513266 0.99560094
6.20142214 0.99610619
6.20771161 0.99661119
6.21400108 0.99711593
6.22029056 0.99762041
6.22658003 0.99812464
6.23286951 0.99862862
6.23915898 0.99913234
6.24544846 0.99963581
6.25173793 1.00013902
6.25802741 1.00064199
6.26431688 1.00114470
6.27060636 1.00164715
6.27689583 1.00214936
6.28318531 1.00265131
